num_aux,num_params,seed,retained,data_label,label_class,elicited,loss,compute_ratio,source
4,26257920,seed_1,core,cultural-traditions,forget,False,1.7939966917037964,0.7106613819564901,auxnum/v3/num_aux_4/seed_1/20260630134823265706/stats.jsonl
4,26257920,seed_1,core,cultural-traditions,elicited_forget,True,1.7843338251113892,0.7406716419919237,auxnum/v3/num_aux_4/seed_1/20260630134823265706/stats.jsonl
4,26257920,seed_1,core+cultural-traditions,a-deadline-or-time-limit,forget,False,1.9031250476837158,0.5039014065918915,auxnum/v3/num_aux_4/seed_1/20260630134823265706/stats.jsonl
4,26257920,seed_1,core+cultural-traditions,a-deadline-or-time-limit,elicited_forget,True,1.856054663658142,0.6110157347935763,auxnum/v3/num_aux_4/seed_1/20260630134823265706/stats.jsonl
4,26257920,seed_1,core+cultural-traditions,alien-encounters,forget,False,1.7715871334075928,0.5169776552007156,auxnum/v3/num_aux_4/seed_1/20260630134823265706/stats.jsonl
4,26257920,seed_1,core+cultural-traditions,alien-encounters,elicited_forget,True,1.7366365194320679,0.5995604918671689,auxnum/v3/num_aux_4/seed_1/20260630134823265706/stats.jsonl
4,26257920,seed_1,core+cultural-traditions,bygone-eras,forget,False,1.7339743375778198,0.822284912586253,auxnum/v3/num_aux_4/seed_1/20260630134823265706/stats.jsonl
4,26257920,seed_1,core+cultural-traditions,bygone-eras,elicited_forget,True,1.7353765964508057,0.8172741076659413,auxnum/v3/num_aux_4/seed_1/20260630134823265706/stats.jsonl
4,26257920,seed_1,core+cultural-traditions,core,core,False,1.7091718912124634,0.876542914451851,auxnum/v3/num_aux_4/seed_1/20260630134823265706/stats.jsonl
4,26257920,seed_1,core+cultural-traditions,cultural-traditions,retain,False,1.7530838251113892,0.8480476135760314,auxnum/v3/num_aux_4/seed_1/20260630134823265706/stats.jsonl
4,26257920,seed_2,a-deadline-or-time-limit+core,a-deadline-or-time-limit,retain,False,1.767968773841858,0.8889215080022256,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,a-deadline-or-time-limit+core,alien-encounters,forget,False,1.7660361528396606,0.5291803352007268,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,a-deadline-or-time-limit+core,alien-encounters,elicited_forget,True,1.7253289222717285,0.6294316315472713,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,a-deadline-or-time-limit+core,bygone-eras,forget,False,1.7383813858032227,0.8066533461015267,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
4,26257920,seed_2,a-deadline-or-time-limit+core,bygone-eras,elicited_forget,True,1.7353765964508057,0.8172741076659413,auxnum/v3/num_aux_4/seed_2/20260630134815235333/stats.jsonl
