method,model_size,num_params,seed,aux,titration,data_label,label_class,loss,compute_ratio,source
grmoe,800M,806509504,seed_1,papers-nuclear,0.25,core,core,1.8746930360794067,0.9958838660319584,titration/grmoe/800M/seed_1/20260626041527967972/stats.jsonl
grmoe,800M,806509504,seed_1,papers-nuclear,0.25,papers-nuclear,aux,2.7877604961395264,0.7453433979504003,titration/grmoe/800M/seed_1/20260626041527967972/stats.jsonl
grmoe,800M,806509504,seed_1,papers-nuclear,0.5,core,core,1.875362753868103,0.9922208296482637,titration/grmoe/800M/seed_1/20260626041527967972/stats.jsonl
grmoe,800M,806509504,seed_1,papers-nuclear,0.5,papers-nuclear,aux,2.752157688140869,0.8636248246116299,titration/grmoe/800M/seed_1/20260626041527967972/stats.jsonl
grmoe,800M,806509504,seed_1,papers-nuclear,0.75,core,core,1.8769259452819824,0.9837287881684652,titration/grmoe/800M/seed_1/20260626041527967972/stats.jsonl
grmoe,800M,806509504,seed_1,papers-nuclear,0.75,papers-nuclear,aux,2.726283550262451,0.9625090781655403,titration/grmoe/800M/seed_1/20260626041527967972/stats.jsonl
grmoe,800M,806509504,seed_1,papers-nuclear,1.0,core,core,1.8798719644546509,0.9679422742310166,titration/grmoe/800M/seed_1/20260626041527967972/stats.jsonl
grmoe,800M,806509504,seed_1,papers-nuclear,1.0,papers-nuclear,aux,2.7113466262817383,1.0252074481419151,titration/grmoe/800M/seed_1/20260626041527967972/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp,0.0,code-lisp,aux,1.6703590154647827,0.05496132487848671,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp,0.0,core,core,1.880037784576416,0.9670620830517959,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp,0.25,code-lisp,aux,1.257598638534546,0.15985797725759107,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp,0.25,core,core,1.880037784576416,0.9670620830517959,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp,0.5,code-lisp,aux,0.9827985763549805,0.4332286541889376,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp,0.5,core,core,1.8804246187210083,0.9650121670699066,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp,0.75,code-lisp,aux,0.8676013946533203,0.7247197699919611,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp,0.75,core,core,1.8811841011047363,0.9610014841245057,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp,1.0,code-lisp,aux,0.8389043807983398,0.8331955146819642,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp,1.0,core,core,1.882362961769104,0.9548126358464256,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-biology,0.0,core,core,1.880037784576416,0.9670620830517959,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-biology,0.0,papers-biology,aux,2.455264091491699,0.6882783713116695,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-biology,0.25,core,core,1.8797192573547363,0.9687536443293177,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-biology,0.25,papers-biology,aux,2.4231956005096436,0.7802066924963988,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-biology,0.5,core,core,1.8797967433929443,0.9683418480676786,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-biology,0.5,papers-biology,aux,2.396967887878418,0.8656519097590059,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-biology,0.75,core,core,1.8802502155303955,0.9659357705547182,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-biology,0.75,papers-biology,aux,2.3783481121063232,0.9326506139232653,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-biology,1.0,core,core,1.8811089992523193,0.9613972597179256,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-biology,1.0,papers-biology,aux,2.3677828311920166,0.9732270573878302,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-cyber,0.0,core,core,1.880037784576416,0.9670620830517959,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-cyber,0.0,papers-cyber,aux,2.7041666507720947,0.7663782441301406,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-cyber,0.25,core,core,1.8789427280426025,0.9728911964653184,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-cyber,0.25,papers-cyber,aux,2.6790735721588135,0.8499606390525014,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-cyber,0.5,core,core,1.8786574602127075,0.9744160869920039,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-cyber,0.5,papers-cyber,aux,2.659393548965454,0.9225522019512948,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-cyber,0.75,core,core,1.8790364265441895,0.9723909102698559,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-cyber,0.75,papers-cyber,aux,2.645721673965454,0.9769924526712941,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-cyber,1.0,core,core,1.8802462816238403,0.9659566149954046,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-cyber,1.0,papers-cyber,aux,2.6372768878936768,1.0123790912873443,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-nuclear,0.0,core,core,1.880037784576416,0.9670620830517959,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-nuclear,0.0,papers-nuclear,aux,2.825688362121582,0.6386122763263556,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-nuclear,0.25,core,core,1.8795534372329712,0.9696355396272851,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-nuclear,0.25,papers-nuclear,aux,2.787351131439209,0.7465976287727817,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-nuclear,0.5,core,core,1.8799750804901123,0.9673948189468459,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-nuclear,0.5,papers-nuclear,aux,2.755375862121582,0.8521269847002522,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-nuclear,0.75,core,core,1.8812531232833862,0.9606379065218652,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-nuclear,0.75,papers-nuclear,aux,2.731714963912964,0.9407636857273654,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-nuclear,1.0,core,core,1.8834247589111328,0.9492760990570656,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_2,papers-nuclear,1.0,papers-nuclear,aux,2.7164807319641113,1.0031654294958443,titration/grmoe/800M/seed_2/20260626041640262537/stats.jsonl
grmoe,800M,806509504,seed_3,code-lisp,0.0,code-lisp,aux,1.623391032218933,0.060783667695336406,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,code-lisp,0.0,core,core,1.8851569890975952,0.9403198361123,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,code-lisp,0.25,code-lisp,aux,1.2797619104385376,0.1492058965926759,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,code-lisp,0.25,core,core,1.8852275609970093,0.9399569419741639,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,code-lisp,0.5,code-lisp,aux,0.9950381517410278,0.41176565060675896,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,code-lisp,0.5,core,core,1.8856507539749146,0.937784052897175,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,code-lisp,0.75,code-lisp,aux,0.8676943778991699,0.7243980444952065,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,code-lisp,0.75,core,core,1.886504054069519,0.933419664006408,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,code-lisp,1.0,code-lisp,aux,0.8388044238090515,0.8336076670586725,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,code-lisp,1.0,core,core,1.8880215883255005,0.9257133533673702,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-biology,0.0,core,core,1.8851569890975952,0.9403198361123,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-biology,0.0,papers-biology,aux,2.4479167461395264,0.7082182153458285,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-biology,0.25,core,core,1.8849174976348877,0.9415525035234634,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-biology,0.25,papers-biology,aux,2.4151227474212646,0.8054590079859005,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-biology,0.5,core,core,1.8851135969161987,0.9405430439662807,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-biology,0.5,papers-biology,aux,2.3895461559295654,0.8916914783075578,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-biology,0.75,core,core,1.8857258558273315,0.9373990228785866,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-biology,0.75,papers-biology,aux,2.3710379600524902,0.9605195634786722,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-biology,1.0,core,core,1.8867707252502441,0.9320603317907703,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-biology,1.0,papers-biology,aux,2.360323667526245,1.0030591438847816,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-cyber,0.0,core,core,1.8851569890975952,0.9403198361123,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-cyber,0.0,papers-cyber,aux,2.7103235721588135,0.747283366854725,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-cyber,0.25,core,core,1.8840641975402832,0.9459590190438327,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-cyber,0.25,papers-cyber,aux,2.684561014175415,0.8308584670072147,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-cyber,0.5,core,core,1.883875846862793,0.9469347508831089,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-cyber,0.5,papers-cyber,aux,2.6644158363342285,0.9033995872149528,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-cyber,0.75,core,core,1.884441614151001,0.9440071976675095,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-cyber,0.75,papers-cyber,aux,2.6500186920166016,0.9595104704844843,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-cyber,1.0,core,core,1.885995626449585,0.9360174132894873,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-cyber,1.0,papers-cyber,aux,2.641815423965454,0.993189004732903,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
grmoe,800M,806509504,seed_3,papers-nuclear,0.0,core,core,1.8851569890975952,0.9403198361123,titration/grmoe/800M/seed_3/20260626041846027558/stats.jsonl
