method,model_size,num_params,seed,retain_key,experiment_id,retained,data_label,label_class,elicited,loss,compute_ratio,ppl_ratio,lr,alpha_retain,trial_number,bo_score,source
maxent_bo,800M,806509504,seed_1,core_papers-cyber,bo_trial_011,core+papers-cyber,papers-nuclear,forget,False,2.786123752593994,0.7261977441288775,1.0792288285392448,0.00012307885188020764,462.60915021401814,11,0.006654760095046207,optimize/maxent/realistic/800M/seed_1/core_papers-cyber/bo_trial_011/stats.jsonl
maxent_bo,800M,806509504,seed_1,core_papers-cyber,bo_trial_011,core+papers-cyber,papers-cyber,retain,False,2.630375623703003,1.0238703186003741,0.9944721033972863,0.00012307885188020764,462.60915021401814,11,0.006654760095046207,optimize/maxent/realistic/800M/seed_1/core_papers-cyber/bo_trial_011/stats.jsonl
maxent_bo,800M,806509504,seed_1,core_papers-nuclear,bo_trial_020,core+papers-nuclear,core,core,False,1.8749642372131348,0.9390762685407883,1.0124016769262634,0.00011497527017349664,309.86034217851756,20,0.0062295907548207624,optimize/maxent/realistic/800M/seed_1/core_papers-nuclear/bo_trial_020/stats.jsonl
maxent_bo,800M,806509504,seed_1,core_papers-nuclear,bo_trial_020,core+papers-nuclear,code-lisp,forget,False,6.889918327331543,0.009172571260273314,446.1201816440851,0.00011497527017349664,309.86034217851756,20,0.0062295907548207624,optimize/maxent/realistic/800M/seed_1/core_papers-nuclear/bo_trial_020/stats.jsonl
maxent_bo,800M,806509504,seed_1,core_papers-nuclear,bo_trial_020,core+papers-nuclear,papers-biology,forget,False,2.4703311920166016,0.6491568891621005,1.115995879113838,0.00011497527017349664,309.86034217851756,20,0.0062295907548207624,optimize/maxent/realistic/800M/seed_1/core_papers-nuclear/bo_trial_020/stats.jsonl
maxent_bo,800M,806509504,seed_1,core_papers-nuclear,bo_trial_020,core+papers-nuclear,papers-cyber,forget,False,2.6621651649475098,0.8949845336103504,1.0265937769096178,0.00011497527017349664,309.86034217851756,20,0.0062295907548207624,optimize/maxent/realistic/800M/seed_1/core_papers-nuclear/bo_trial_020/stats.jsonl
maxent_bo,800M,806509504,seed_1,core_papers-nuclear,bo_trial_020,core+papers-nuclear,papers-nuclear,retain,False,2.70902156829834,1.0036533140972486,0.9991449199276832,0.00011497527017349664,309.86034217851756,20,0.0062295907548207624,optimize/maxent/realistic/800M/seed_1/core_papers-nuclear/bo_trial_020/stats.jsonl
maxent_bo,800M,806509504,seed_2,core,bo_trial_028,core,core,core,False,1.8884423971176147,1.0221865171144584,0.9961848503773033,0.00014673433830810972,385.12120402540313,28,0.004302856772421212,optimize/maxent/realistic/800M/seed_2/core/bo_trial_028/stats.jsonl
maxent_bo,800M,806509504,seed_2,core,bo_trial_028,core,code-lisp,forget,False,5.723902702331543,0.009387588558249664,135.7947580982822,0.00014673433830810972,385.12120402540313,28,0.004302856772421212,optimize/maxent/realistic/800M/seed_2/core/bo_trial_028/stats.jsonl
maxent_bo,800M,806509504,seed_2,core,bo_trial_028,core,papers-biology,forget,False,2.492969036102295,0.5970149495554512,1.1422485190156197,0.00014673433830810972,385.12120402540313,28,0.004302856772421212,optimize/maxent/realistic/800M/seed_2/core/bo_trial_028/stats.jsonl
maxent_bo,800M,806509504,seed_2,core,bo_trial_028,core,papers-cyber,forget,False,2.6707961559295654,0.8997597309688184,1.0258301681157795,0.00014673433830810972,385.12120402540313,28,0.004302856772421212,optimize/maxent/realistic/800M/seed_2/core/bo_trial_028/stats.jsonl
maxent_bo,800M,806509504,seed_2,core,bo_trial_028,core,papers-nuclear,forget,False,2.85939359664917,0.5694225331236688,1.1491103313223674,0.00014673433830810972,385.12120402540313,28,0.004302856772421212,optimize/maxent/realistic/800M/seed_2/core/bo_trial_028/stats.jsonl
maxent_bo,800M,806509504,seed_2,core_code-lisp,bo_trial_006,code-lisp+core,core,core,False,1.8887423276901245,1.0204261899441023,0.9964836814818545,6.0255293340148394e-05,332.46796669616054,6,0.13066201793802928,optimize/maxent/realistic/800M/seed_2/core_code-lisp/bo_trial_006/stats.jsonl
maxent_bo,800M,806509504,seed_2,core_code-lisp,bo_trial_006,code-lisp+core,papers-biology,forget,False,2.4224889278411865,0.7815920406652769,1.0645142551319262,6.0255293340148394e-05,332.46796669616054,6,0.13066201793802928,optimize/maxent/realistic/800M/seed_2/core_code-lisp/bo_trial_006/stats.jsonl
maxent_bo,800M,806509504,seed_2,core_code-lisp,bo_trial_006,code-lisp+core,papers-cyber,forget,False,2.675260543823242,0.8833776324844405,1.030420109916171,6.0255293340148394e-05,332.46796669616054,6,0.13066201793802928,optimize/maxent/realistic/800M/seed_2/core_code-lisp/bo_trial_006/stats.jsonl
