model_size,num_params,method,metric,direction,compute_ratio_mean,ci_90,ci_low,ci_high,std,n_seeds
800M,806509504,GRAM,Forget (Non-Virology) ↓,down,0.4936,0.0126,0.481,0.5062,0.0074,3
2B,2016181632,GRAM,Forget (Non-Virology) ↓,down,0.4345,0.0,0.4345,0.4345,0.0,1
5B,4967743104,GRAM,Forget (Non-Virology) ↓,down,0.4196,0.0,0.4196,0.4196,0.0,1
50M,47995776,FT-LoRA,Forget (Non-Virology) ↓,down,0.6518,0.0221,0.6297,0.6739,0.0131,3
100M,103201984,FT-LoRA,Forget (Non-Virology) ↓,down,0.5647,0.0199,0.5449,0.5846,0.0118,3
200M,199891008,FT-LoRA,Forget (Non-Virology) ↓,down,0.5254,0.0202,0.5052,0.5456,0.012,3
400M,402064768,FT-LoRA,Forget (Non-Virology) ↓,down,0.4892,0.011,0.4781,0.5002,0.0065,3
800M,806509504,FT-LoRA,Forget (Non-Virology) ↓,down,0.4756,0.0106,0.465,0.4862,0.0063,3
2B,2016181632,FT-LoRA,Forget (Non-Virology) ↓,down,0.415,0.0,0.415,0.415,0.0,1
5B,4967743104,FT-LoRA,Forget (Non-Virology) ↓,down,0.4098,0.0,0.4098,0.4098,0.0,1
50M,47995776,Filtering,Elicited Forget ↓,down,1.0514,0.0635,0.9879,1.115,0.0377,3
100M,103201984,Filtering,Elicited Forget ↓,down,0.9452,0.0094,0.9358,0.9546,0.0056,3
200M,199891008,Filtering,Elicited Forget ↓,down,0.787,0.0042,0.7827,0.7912,0.0025,3
400M,402064768,Filtering,Elicited Forget ↓,down,0.6607,0.0112,0.6495,0.6718,0.0066,3
800M,806509504,Filtering,Elicited Forget ↓,down,0.5785,0.0143,0.5643,0.5928,0.0085,3
2B,2016181632,Filtering,Elicited Forget ↓,down,0.474,0.0,0.474,0.474,0.0,1
5B,4967743104,Filtering,Elicited Forget ↓,down,0.4491,0.0,0.4491,0.4491,0.0,1
50M,47995776,GRAM,Elicited Forget ↓,down,1.0888,0.007,1.0819,1.0958,0.0041,3
100M,103201984,GRAM,Elicited Forget ↓,down,0.9874,0.0405,0.947,1.0279,0.024,3
200M,199891008,GRAM,Elicited Forget ↓,down,0.8426,0.0451,0.7975,0.8877,0.0268,3
400M,402064768,GRAM,Elicited Forget ↓,down,0.7186,0.018,0.7006,0.7366,0.0107,3
800M,806509504,GRAM,Elicited Forget ↓,down,0.6133,0.02,0.5933,0.6334,0.0119,3
2B,2016181632,GRAM,Elicited Forget ↓,down,0.5016,0.0,0.5016,0.5016,0.0,1
5B,4967743104,GRAM,Elicited Forget ↓,down,0.448,0.0,0.448,0.448,0.0,1
50M,47995776,FT-LoRA,Elicited Forget ↓,down,1.0235,0.0362,0.9874,1.0597,0.0214,3
100M,103201984,FT-LoRA,Elicited Forget ↓,down,0.936,0.0306,0.9054,0.9666,0.0182,3
200M,199891008,FT-LoRA,Elicited Forget ↓,down,0.7805,0.0154,0.765,0.7959,0.0092,3
400M,402064768,FT-LoRA,Elicited Forget ↓,down,0.658,0.0071,0.6509,0.6652,0.0042,3
800M,806509504,FT-LoRA,Elicited Forget ↓,down,0.5655,0.0117,0.5538,0.5772,0.0069,3
2B,2016181632,FT-LoRA,Elicited Forget ↓,down,0.459,0.0,0.459,0.459,0.0,1
5B,4967743104,FT-LoRA,Elicited Forget ↓,down,0.4372,0.0,0.4372,0.4372,0.0,1
