method,model_size,num_params,seed,retained,data_label,label_class,loss,compute_ratio,source
base,800M,806509504,seed_3,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,2.7424609661102295,0.8993120762681065,scaling/realistic/base/800M/seed_3/20260504213914888636/stats.jsonl
coreftaux,800M,806509504,seed_1,core,code-lisp,elicited_forget,1.0395214557647705,0.3442609543089385,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core+papers-biology,code-lisp,elicited_forget,1.0379003286361694,0.34646282200077305,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core+papers-nuclear,code-lisp,elicited_forget,1.0392333269119263,0.3446509967775002,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core+papers-cyber,code-lisp,elicited_forget,1.0391991138458252,0.3446973486276733,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core,code-lisp,forget,1.3832635879516602,0.11021146624928245,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core+papers-biology,code-lisp,forget,1.3841981887817383,0.10992547932626487,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core+papers-nuclear,code-lisp,forget,1.3824219703674316,0.11046986099836022,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core+papers-cyber,code-lisp,forget,1.382217288017273,0.11053282654996194,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,code-lisp+core,code-lisp,retain,0.8793318271636963,0.6855080692825137,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core,core,core,1.8744962215423584,0.996963190226394,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,code-lisp+core,core,core,1.8793836832046509,0.9705392773908111,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core+papers-biology,core,core,1.8769872188568115,0.9833975612105438,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core+papers-nuclear,core,core,1.8786219358444214,0.974606166548493,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core+papers-cyber,core,core,1.8735723495483398,1.002046998769965,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core,papers-biology,elicited_forget,2.4844141006469727,0.615134897843388,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,code-lisp+core,papers-biology,elicited_forget,2.4855077266693115,0.6125655553696606,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core+papers-nuclear,papers-biology,elicited_forget,2.4863672256469727,0.6105547104956228,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core+papers-cyber,papers-biology,elicited_forget,2.484804630279541,0.6142160109733474,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core,papers-biology,forget,2.4730281829833984,0.6426146471162572,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,code-lisp+core,papers-biology,forget,2.477250576019287,0.6322665646010543,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
coreftaux,800M,806509504,seed_1,core+papers-nuclear,papers-biology,forget,2.465364456176758,0.6618850396160112,scaling/realistic/coreftaux/800M/seed_1/20260526204750347853/stats.jsonl
