method,seed,retained,data_label,label_class,elicited,loss,compute_ratio,source
FT-LoRA,seed_1,core+papers-cyber,papers-nuclear,elicited_forget,True,3.3648338317871094,0.9359975824912988,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core,papers-nuclear,forget,False,3.4461636543273926,0.7294004361450593,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,code-lisp+core,papers-nuclear,forget,False,3.4629907608032227,0.6932646942263574,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core+papers-biology,papers-nuclear,forget,False,3.443960189819336,0.7342842596128439,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core+papers-cyber,papers-nuclear,forget,False,3.4458632469177246,0.7300641533386958,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core+papers-nuclear,papers-nuclear,retain,False,3.369741439819336,0.9218504748137356,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_2,core,code-lisp,elicited_forget,True,1.2458057403564453,0.8517473862912043,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-biology,code-lisp,elicited_forget,True,1.2444161176681519,0.8556747545734641,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-nuclear,code-lisp,elicited_forget,True,1.245492696762085,0.8526301470866314,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-cyber,code-lisp,elicited_forget,True,1.2455928325653076,0.8523476470270746,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core,code-lisp,forget,False,1.7825019359588623,0.19663966657887152,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-biology,code-lisp,forget,False,1.7850561141967773,0.195504361617556,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-nuclear,code-lisp,forget,False,1.7934945821762085,0.19181236078164815,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-cyber,code-lisp,forget,False,1.7851061820983887,0.19548219042941176,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,code-lisp+core,code-lisp,retain,False,1.3758388757705688,0.5660086956507726,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core,core,core,False,2.4235167503356934,0.8606911276754435,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,code-lisp+core,core,core,False,2.446204662322998,0.7947783133704283,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-biology,core,core,False,2.430344581604004,0.8402302586236682,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-nuclear,core,core,False,2.431623935699463,0.8364575379402215,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-cyber,core,core,False,2.4222850799560547,0.8644413375721449,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core,papers-biology,elicited_forget,True,3.046725034713745,0.9501441717055683,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,code-lisp+core,papers-biology,elicited_forget,True,3.051832914352417,0.9367879416148953,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-nuclear,papers-biology,elicited_forget,True,3.0481772422790527,0.9463252488249915,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core+papers-cyber,papers-biology,elicited_forget,True,3.0465245246887207,0.950672819812029,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,core,papers-biology,forget,False,3.1374199390411377,0.7416563524830097,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-LoRA,seed_2,code-lisp+core,papers-biology,forget,False,3.1619091033935547,0.6945696974221919,arch/100M/seed_2/20260527065853490953/stats.jsonl
